Address,total_income
20011395008,27300000.0
20011395011,171460000.0
20011395014,382920000.0
20011395015,176380000.0
20011395020,220380000.0
20011395023,392300000.0
20011395109,110840000.0
20011395110,376880000.0
20011395114,440100000.0
20011395117,142300000.0
20011395120,93120000.0
20011395123,42220000.0
20011395209,357840000.0
20011395216,205340000.0
20011395217,415560000.0
20011395220,84840000.0
20011395223,206220000.0
20011395309,195880000.0
20011395311,15020000.0
20011395317,239820000.0
20011395318,47570000.0
20011395320,21840000.0
20011395323,143570000.0
20011395407,230340000.0
20011395411,219420000.0
20011395415,156380000.0
20011395416,102920000.0
20011395420,88880000.0
20011395423,31840000.0
20012395508,16380000.0
20012395511,86460000.0
20012395516,42120000.0
20012395517,18530000.0
20012395520,45380000.0
20012395523,152260000.0
20012395610,30080000.0
20012395611,1126840000.0
20012395614,275260000.0
20012395615,847300000.0
20012395620,142300000.0
20012395623,45920000.0
20012395708,282070000.0
20012395711,512300000.0
20012395713,52920000.0
20012395714,75760000.0
20012395720,221780000.0
20012395723,20670000.0
20012395808,51380000.0
20012395811,16380000.0
20012395814,21460000.0
20012395817,24220000.0
20012395820,21840000.0
20012395823,80920000.0
20012395908,136380000.0
20012395911,366800000.0
20012395915,73960000.0
20012395917,454540000.0
20012395920,470920000.0
20012395923,33500000.0
20012396008,382300000.0
20012396011,408300000.0
20012396014,143840000.0
20012396017,162640000.0
20012396020,154920000.0
20012396023,152920000.0
20012396111,235970000.0
20012396112,46380000.0
20012396115,56840000.0
20012396117,141000000.0
20012396120,162460000.0
20012396123,158280000.0
20012396208,498840000.0
20012396211,239340000.0
20012396213,12920000.0
20012396214,610920000.0
20012396220,21840000.0
20012396223,377920000.0
20012396308,439640000.0
20012396311,22840000.0
20012396314,436940000.0
20012396317,81380000.0
20012396320,235590000.0
20012396323,135420000.0
20012396410,893180000.0
20012396411,302300000.0
20012396415,16380000.0
20012396416,21840000.0
20012396420,218220000.0
20012396423,165820000.0
20012396507,211400000.0
20012396508,361460000.0
20012396517,156280000.0
20012396518,171840000.0
20012396520,326880000.0
20012396523,166350000.0
20012396607,42460000.0
20012396609,42020000.0
20012396614,122560000.0
20012396617,198380000.0
20012396620,255570000.0
20012396623,273120000.0
20012396707,65460000.0
20012396708,363300000.0
20012396714,147640000.0
20012396717,378580000.0
20012396720,374300000.0
20012396723,130300000.0
20012396808,77350000.0
20012396809,90920000.0
20012396813,43400000.0
20012396814,42780000.0
20012396820,752020000.0
20012396823,29350000.0
20012396908,116620000.0
20012396911,405600000.0
20012396913,203920000.0
20012396914,33460000.0
20012396920,33810000.0
20012396923,238910000.0
20013397007,393840000.0
20013397008,207300000.0
20013397013,460980000.0
20013397016,16380000.0
20013397020,16980000.0
20013397023,195780000.0
20013397111,138820000.0
20013397112,123070000.0
20013397113,370920000.0
20013397116,53920000.0
20013397120,21840000.0
20013397123,35460000.0
20013397208,66380000.0
20013397210,118340000.0
20013397214,21840000.0
